Row Labels,Sum of sales
(blank),12635222
"Apple Smart Phone, Full Size",86936
"Cisco Smart Phone, Full Size",76441
"Motorola Smart Phone, Full Size",73159
"Nokia Smart Phone, Full Size",71904
Canon imageCLASS 2200 Advanced Copier,61600
"Hon Executive Leather Armchair, Adjustable",58200
"Office Star Executive Leather Armchair, Adjustable",50667
"Harbour Creations Executive Leather Armchair, Adjustable",50120
"Samsung Smart Phone, Cordless",48654
"Nokia Smart Phone, with Caller ID",47880
"Samsung Smart Phone, VoIP",45406
"Cisco Smart Phone, with Caller ID",43124
"SAFCO Executive Leather Armchair, Black",41921
"Cisco Smart Phone, Cordless",41021
"Novimex Executive Leather Armchair, Adjustable",40586
"Sauder Classic Bookcase, Traditional",39110
"Motorola Smart Phone, Cordless",38935
"Novimex Executive Leather Armchair, Red",38813
"Eldon File Cart, Single Width",34392
"Hoover Stove, White",32845
"Harbour Creations Executive Leather Armchair, Black",32230
"Hoover Stove, Red",31664
"Motorola Smart Phone, with Caller ID",30244
"Hewlett Copy Machine, Color",29708
"Rogers File Cart, Single Width",29467
"Office Star Executive Leather Armchair, Black",29422
"Hon Executive Leather Armchair, Black",29243
"Smead Lockers, Industrial",28996
"Hamilton Beach Stove, Silver",28656
"Novimex Executive Leather Armchair, Black",28631
"Bush Library with Doors, Metal",28517
"Rogers Lockers, Blue",28215
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27454
"Safco Library with Doors, Pine",27262
"Apple Smart Phone, Cordless",27164
"Canon Wireless Fax, Color",26585
"Bush Classic Bookcase, Traditional",26531
"Samsung Smart Phone, with Caller ID",26311
"Safco Classic Bookcase, Traditional",26227
"Brother Copy Machine, Color",26220
"Safco Classic Bookcase, Mobile",26109
"Nokia Smart Phone, Cordless",25657
"SAFCO Executive Leather Armchair, Red",25639
"Dania Classic Bookcase, Pine",25629
"Smead File Cart, Single Width",25397
"Safco Classic Bookcase, Metal",25275
"Office Star Executive Leather Armchair, Red",25213
"Ikea Classic Bookcase, Metal",25051
"Smead Lockers, Blue",24776
"SAFCO Executive Leather Armchair, Adjustable",24216
"Sauder Classic Bookcase, Pine",24078
"Brother Wireless Fax, Laser",23904
"Hewlett Wireless Fax, High-Speed",23811
"Bush Classic Bookcase, Metal",23540
"Harbour Creations Executive Leather Armchair, Red",23518
"Belkin Router, USB",23473
"Hewlett Wireless Fax, Color",23267
"Sauder Classic Bookcase, Metal",23195
"Okidata Inkjet, Wireless",23003
"Ikea Classic Bookcase, Traditional",22756
"Fellowes Lockers, Industrial",22638
Cisco TelePresence System EX90 Videoconferencing Unit,22638
"Ikea Library with Doors, Pine",22538
"Brother Fax Machine, High-Speed",22430
"Canon Fax Machine, High-Speed",22339
"HP Copy Machine, Color",22299
"Tenex File Cart, Single Width",22111
"Fellowes Lockers, Single Width",22092
"Hewlett Wireless Fax, Digital",22046
"KitchenAid Stove, Silver",21966
"Canon Wireless Fax, Laser",21928
"Sharp Copy Machine, Color",21911
"Memorex Router, Erganomic",21887
"KitchenAid Refrigerator, Black",21871
HON 5400 Series Task Chairs for Big and Tall,21870
"Ikea Classic Bookcase, Mobile",21805
"Safco Classic Bookcase, Pine",21802
"Hewlett Wireless Fax, Laser",21541
"Dania Library with Doors, Traditional",21492
"Sharp Wireless Fax, Color",21430
"Hamilton Beach Stove, White",21332
"Samsung Smart Phone, Full Size",20992
"Hewlett Fax Machine, High-Speed",20986
"Sharp Wireless Fax, Digital",20746
"Fellowes Lockers, Blue",20565
"Brother Fax Machine, Laser",20548
"Rogers Lockers, Single Width",20496
"Sauder Classic Bookcase, Mobile",20059
"Konica Inkjet, Wireless",19909
"Belkin Router, Erganomic",19889
GBC DocuBind TL300 Electric Binding System,19824
"Hon Executive Leather Armchair, Red",19803
"Memorex Router, USB",19607
"Canon Wireless Fax, High-Speed",19596
"KitchenAid Stove, Black",19548
"Hon Swivel Stool, Black",19531
"Ikea Library with Doors, Mobile",19261
"Eldon Lockers, Blue",19254
"Tenex Lockers, Wire Frame",19092
GBC Ibimaster 500 Manual ProClick Binding System,19026
"Bush Classic Bookcase, Mobile",19020
Hewlett Packard LaserJet 3310 Copier,18840
"Sharp Fax Machine, Laser",18788
"Smead Lockers, Wire Frame",18643
"Brother Wireless Fax, Color",18482
"Breville Refrigerator, Red",18449
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18375
"Rogers Lockers, Industrial",18298
"Tenex Lockers, Blue",18199
"HP Fax Machine, Laser",18179
"Hoover Refrigerator, White",18162
"Ikea Library with Doors, Traditional",18107
